10016	WAN	Missing Anti-clickjacking Header
10021	WARN	X-Content-Type-Options Header Missing
10020	WARN	X-Frame-Options Header Not Set
10038	WARN	Content Security Policy (CSP) Header Not Set
10037	WARN	Server Leaks Information via "X-Powered-By" HTTP Response Header Field(s)
10202	WARN	Absence of Anti-CSRF Tokens
90022	WARN	Application Error Disclosure
10017	WARN	Cross-Domain JavaScript Source File Inclusion
90027	WARN	Cookie Slack Detector
10098	WARN	Cross-Domain Misconfiguration
10096	WARN	Timestamp Disclosure
10055	WARN	CSP: Wildcard Directive
90033	WARN	Loosely Scoped Cookie 
